"time";"therm";"temperature";"humidity";"pressure"
12:38:52.654;15651;167098;388389;10090
;;;;
12:38:52.846;15619;167148;39135;10090
;;;;
12:38:53.021;15587;166996;393488;100904
;;;;
12:38:53.234;15571;167199;390199;100903
;;;;
12:38:53.422;15555;167098;38828;100904
;;;;
12:38:53.595;15571;167148;391734;100901
;;;;
12:38:53.812;15555;167199;391679;100901
;;;;
12:38:53.984;15491;167199;392118;100904
;;;;
12:38:54.170;15491;167148;392063;100906
;;;;
12:38:54.370;15427;16725;391186;100903
;;;;
12:38:54.553;15459;167301;390748;100906
;;;;
12:38:54.740;15459;16725;388389;10090
;;;;
12:38:54.941;15427;167199;38817;100903
;;;;
12:38:55.140;15443;167199;392502;100903
;;;;
12:38:55.309;15347;167352;391406;100905
;;;;
12:38:55.497;15411;167301;391734;100904
;;;;
12:38:55.713;15347;167352;388828;100905
;;;;
12:38:55.881;15395;167352;392283;100909
;;;;
12:38:56.070;15363;167402;391955;100909
;;;;
12:38:56.257;15331;167402;392612;100904
;;;;
12:38:56.460;15267;167402;392448;100905
;;;;
12:38:56.646;15299;167453;390583;100904
;;;;
12:38:56.833;15235;167453;391845;100904
;;;;
12:38:57.019;15139;167555;392284;100906
;;;;
12:38:57.217;15171;167453;393764;100905
;;;;
12:38:57.392;15187;167504;393874;100907
;;;;
12:38:57.590;15155;167555;392394;100905
;;;;
12:38:57.778;15123;167656;393271;100905
;;;;
12:38:57.960;15107;167656;39179;100908
;;;;
12:38:58.151;15107;167656;390639;100908
;;;;
12:38:58.330;15043;167605;391571;100906
;;;;
12:38:58.520;15043;167656;390639;100907
;;;;
12:38:58.711;15075;167707;392229;100906
;;;;
12:38:58.902;15027;167707;393874;100906
;;;;
12:38:59.095;15043;167758;393271;100905
;;;;
12:38:59.286;14963;167758;39042;100905
;;;;
12:38:59.477;14931;167809;391901;100904
;;;;
12:38:59.669;14963;167859;393053;100906
;;;;
12:38:59.842;14947;16791;39234;100907
;;;;
12:39:00.038;15027;167859;39404;100906
;;;;
12:39:00.232;14883;16791;392505;100905
;;;;
12:39:00.422;14883;167961;395356;100906
;;;;
12:39:00.614;14835;16791;39404;100909
;;;;
12:39:00.788;14851;167961;393053;100906
;;;;
12:39:00.995;14883;168164;395411;100905
;;;;
12:39:01.185;14819;167961;392779;100901
;;;;
12:39:01.373;14803;168012;394808;100902
;;;;
12:39:01.549;14755;168062;393327;100901
;;;;
12:39:01.740;14819;168113;393547;100899
;;;;
12:39:01.928;14787;168164;394314;100901
;;;;
12:39:02.128;14835;168164;391792;100902
;;;;
12:39:02.315;14643;168215;394205;100899
;;;;
12:39:02.502;14723;168266;396837;10090
;;;;
12:39:02.690;14691;168164;393054;100898
;;;;
12:39:02.891;14675;168215;394864;10090
;;;;
12:39:03.076;14691;168367;392944;100902
;;;;
12:39:03.262;14691;168367;396235;100896
;;;;
12:39:03.450;14643;168316;393438;100896
;;;;
12:39:03.634;14611;168266;395193;100895
;;;;
12:39:03.821;14659;168418;39448;100899
;;;;
12:39:04.007;14643;168418;391573;100898
;;;;
12:39:04.199;14595;168418;396016;100896
;;;;
